"id","code_prefix_start","name"
"chart_sk_543","543","Dary"
"chart_sk_544","544","Zmluvné pokuty, penále a úroky z omeškania"
"chart_sk_545","545","Ostatné pokuty, penále a úroky z omeškania"
"chart_sk_546","546","Odpis pohľadávky"
"chart_sk_547","547","Tvorba a zúčtovanie opravných položiek k pohľadávkam"
"chart_sk_548","548","Ostatné náklady na hospodársku činnosť"
"chart_sk_549","549","Manká a škody"
"chart_sk_55","55","Odpisy a opravné položky k dlhodobému majetku"
"chart_sk_551","551","Odpisy dlhodobého mehmotného majetku a dlhodobého hmotného majetku"
"chart_sk_553","553","Tvorba a zúčtovanie opravných položiek k dlhodobému majetku"
"chart_sk_555","555","Zúčtovanie komplexných nákladov budúcich období"
"chart_sk_557","557","Zúčtovanie oprávky k opravnej položke k nadobudnutému majetku"
"chart_sk_56","56","Finančné náklady"
"chart_sk_561","561","Predané cenné papiere a podiely"
"chart_sk_562","562","Úroky"
"chart_sk_563","563","Kurzové straty"
"chart_sk_564","564","Náklady na precenenie cenných papierov"
"chart_sk_565","565","Tvorba a zúčtovanie opravných položiek k finančnému majetku"
"chart_sk_566","566","Náklady na krátkodobý finančný majetok"
"chart_sk_567","567","Náklady na derivátové operácie"
"chart_sk_568","568","Ostatné finančné náklady"
"chart_sk_569","569","Manká a škody na finančnom majetku"
"chart_sk_59","59","Dane z príjmov a prevodové účty"
"chart_sk_591","591","Splatná daň z príjmov"
"chart_sk_592","592","Odložená daň z príjmov"
"chart_sk_595","595","Dodatočné odvody dane z príjmov"
"chart_sk_596","596","Prevod podielov na výsledku hospodárenia spoločníkom"
"chart_sk_6","6","Výnosy"
"chart_sk_60","60","Tržby za vlastné výkony a tovar"
"chart_sk_601","601","Tržby za vlastné výrobky"
"chart_sk_602","602","Tržby z predaja služieb"
"chart_sk_604","604","Tržby za tovar"
"chart_sk_606","606","Výnosy za zákazky"
"chart_sk_607","607","Výnosy z nehnuťelnosti na predaj"
"chart_sk_61","61","Zmeny stavu vnútroorganizačných zásob"
"chart_sk_611","611","Zmena stavu nedokončenej výroby"
"chart_sk_612","612","Zmena stavu polotovarov"
"chart_sk_613","613","Zmena stavu výrobkov"
"chart_sk_614","614","Zmena stavu zvierat"
"chart_sk_62","62","Aktivácia"
"chart_sk_621","621","Aktivácia materiálu a tovaru"
"chart_sk_622","622","Aktivácia vnútroorganizačných služieb"
"chart_sk_623","623","Aktivácia dlhodobého nehmotného majetku"
"chart_sk_624","624","Aktivácia dlhodobého hmotného majetku"
"chart_sk_64","64","Iné výnosy z hospodárskej činnosti"
"chart_sk_641","641","Tržby z predaja dlhodobého nehmotného majetku a dlhodobého hmotného majetku"
"chart_sk_642","642","Tržby z predaja materiálu"
"chart_sk_644","644","Zmluvné pokuty, penále a úroky z omeškania"
"chart_sk_645","645","Ostatné pokuty, penále a úroky z omeškania"
"chart_sk_646","646","Výnosy z odpísaných pohľadávok"
"chart_sk_648","648","Ostatné výnosy z hospodárskej činnosti"
"chart_sk_65","65","Zúčtovanie niektorých položiek z hospodárskej činnosti"
"chart_sk_655","655","Zúčtovanie komplexných nákladov budúcich období"
"chart_sk_657","657","Zúčtovanie oprávky opravnej položke k nadobudnutému majetku"
"chart_sk_66","66","Finančné výnosy"
"chart_sk_661","661","Tržby z predaja cenných papierov a podielov"
"chart_sk_662","662","Úroky"
"chart_sk_663","663","Kurzové zisky"
"chart_sk_664","664","Výnosy z precenenia cenných papierov"
"chart_sk_665","665","Výnosy z dlhodobého finančného majetku"
"chart_sk_666","666","Výnosy z krátkodobého finančného majetku"
"chart_sk_667","667","Výnosy z derivátových operácií"
"chart_sk_668","668","Ostatné finančné výnosy"
"chart_sk_7","7","Uzávierkové účty a podsúvahové účty"
"chart_sk_70","70","Súvahové závierkové účty"
"chart_sk_701","701","Začiatočný účet súvahový"
"chart_sk_702","702","Konečný účet súvahový"
"chart_sk_71","71","Výsledovkový uzávierkový účet"
"chart_sk_710","710","Účet ziskov a strát"
"chart_sk_711","711","Začiatočný účet nákladov a výnosov"
